sample	value
1	0
1	0
1	0
1	1
1	1
1	2
1	4
2	0
2	0
2	0
2	0
2	4
2	4
2	4
3	0
3	0
3	0
3	0
3	0
3	3
3	4
3	4
3	4
3	4
4	0
4	0
4	0
4	0
4	0
4	0
4	0
4	1
4	4
5	0
5	0
5	0
5	0
5	1
5	4
5	4
5	4
5	4
6	0
6	0
6	0
6	0
6	0
6	0
6	1
6	1
6	1
6	4
7	0
7	0
7	0
7	1
7	2
7	2
7	3
7	4
7	4
7	4
8	0
8	0
8	0
8	0
8	0
8	0
8	0
8	1
8	4
9	0
9	0
9	0
9	0
10	0
10	0
10	0
10	0
10	0
10	1
10	4
10	4
10	4
10	4
11	0
11	0
11	0
11	0
11	0
11	0
11	1
12	0
12	0
12	0
12	0
12	0
12	0
12	0
12	0
12	0
12	1
13	0
13	0
13	4
13	4
14	0
14	0
14	0
14	0
14	0
14	1
14	4
14	4
15	0
15	0
15	0
15	0
15	0
16	0
16	0
16	0
16	1
16	1
16	4
16	4
16	4
16	4
16	4
17	4
17	4
17	4
17	4
17	4
18	4
18	4
18	4
18	4
18	4
18	4
19	0
19	1
19	1
19	1
19	4
19	4
19	4
19	4
19	4
19	4
20	0
20	0
20	4
20	4
20	4
20	4
20	4
20	4
20	4
21	1
21	1
21	1
21	3
21	4
21	4
21	4
22	0
22	0
22	0
22	4
22	4
22	4
22	4
22	4
23	0
23	0
23	4
23	4
23	4
23	4
23	4
23	4
23	4
23	4
24	0
24	0
24	0
24	1
24	1
24	1
24	1
24	4
25	0
25	0
25	0
25	0
25	0
25	0
25	0
25	0
25	1
26	0
26	0
26	0
26	1
26	1
26	4
26	4
26	4
26	4
26	4
27	0
27	0
27	0
27	0
27	0
27	0
27	4
28	0
28	0
28	0
28	0
28	0
28	4
28	4
28	4
28	4
28	4
29	0
29	0
29	0
29	2
29	4
29	4
29	4
29	4
29	4
29	4
30	0
30	0
30	0
30	0
30	0
30	0
30	1
30	1
30	1
30	4
31	0
31	0
31	0
31	0
31	1
31	2
31	4
31	4
31	4
31	4
32	0
32	0
32	0
32	0
32	0
32	1
32	1
32	1
32	1
32	3
33	0
33	0
33	0
33	0
33	0
33	1
33	1
33	4
33	4
34	0
34	0
34	1
34	4
34	4
34	4
34	4
34	4
34	4
35	0
35	0
35	0
35	0
35	1
35	1
35	4
35	4
36	0
36	0
36	0
36	0
36	0
36	0
36	0
36	0
36	0
36	1
37	0
37	0
37	0
37	0
37	0
37	4
38	0
38	0
38	1
38	2
38	4
39	0
39	0
39	0
39	0
39	0
39	0
39	0
39	0
39	0
40	0
40	0
40	0
40	0
40	0
40	0
40	0
40	0
41	0
41	0
41	0
41	0
41	0
41	0
41	0
41	0
41	0
41	1
42	0
42	0
42	0
42	0
42	0
42	0
42	3
42	4
42	4
42	4
43	0
43	0
43	0
43	0
43	0
43	0
43	0
43	1
43	1
44	0
44	0
44	0
44	0
44	1
44	4
44	4
44	4
45	0
45	0
45	0
45	1
45	4
45	4
45	4
45	4
45	4
45	4
46	0
46	0
46	1
46	2
46	3
46	3
46	4
46	4
46	4
46	4
47	0
47	4
47	4
47	4
47	4
47	4
47	4
47	4
47	4
48	0
48	0
48	0
48	0
48	0
48	0
48	1
48	1
48	2
48	4
49	0
49	0
49	0
49	1
49	1
49	2
49	2
49	4
49	4
50	0
50	0
50	0
50	0
50	0
50	1
50	2
50	2
50	3
50	4
51	0
51	0
51	0
51	0
51	0
51	0
51	0
51	0
51	4
52	0
52	0
52	0
52	0
52	0
52	0
52	1
52	2
52	4
52	4
53	0
53	0
53	0
53	0
53	0
53	0
53	1
53	1
53	2
53	4
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	0
54	4
55	0
55	0
55	0
55	0
55	0
55	4
55	4
55	4
55	4
55	4
56	0
56	0
56	0
56	0
56	0
56	0
56	0
56	2
56	4
57	0
57	0
57	0
57	1
57	1
57	1
57	2
58	1
58	1
58	1
58	1
